location,time,hour,minute,v_occ_min,w_occ_min,v_occ,win,wout,raw_occ_min,groundtruth
111,2016-04-17 21:45:00,21.0,45.0,440.0,773.0,6.0,76,58,1464,2647.0
111,2016-04-15 01:15:00,1.0,15.0,161.0,387.0,12.0,7,10,367,1200.0
111,2016-04-14 02:45:00,2.0,45.0,169.0,442.0,9.0,18,15,1049,149.0
111,2016-04-18 21:45:00,21.0,45.0,150.0,424.0,3.0,7,6,430,379.0
111,2016-04-18 00:45:00,0.0,45.0,524.0,527.0,6.0,57,54,2490,158.0
111,2016-04-16 21:30:00,21.0,30.0,66.0,638.0,26.0,24,25,452,1366.0
111,2016-04-17 23:30:00,23.0,30.0,570.0,637.0,6.0,1,44,2115,410.0
111,2016-04-18 01:30:00,1.0,30.0,391.0,601.0,0.0,37,41,2643,361.0
111,2016-04-14 04:00:00,4.0,0.0,105.0,267.0,0.0,0,6,1260,54.0
111,2016-04-18 00:30:00,0.0,30.0,614.0,520.0,5.0,33,33,2481,345.0
111,2016-04-18 23:30:00,23.0,30.0,72.0,458.0,11.0,15,16,579,377.0
111,2016-04-18 19:45:00,19.0,45.0,24.0,440.0,8.0,8,8,161,176.0
111,2016-04-15 20:30:00,20.0,30.0,16.0,513.0,24.0,12,8,39,642.0
111,2016-04-13 18:45:00,18.0,45.0,23.0,396.0,7.0,4,5,23,334.0
111,2016-04-14 04:45:00,4.0,45.0,0.0,181.0,0.0,0,18,1170,0.0
111,2016-04-14 23:45:00,23.0,45.0,100.0,394.0,16.0,20,27,256,621.0
111,2016-04-16 21:45:00,21.0,45.0,36.0,594.0,27.0,18,16,457,1388.0
111,2016-04-16 22:30:00,22.0,30.0,23.0,486.0,29.0,24,22,571,1019.0
111,2016-04-17 03:15:00,3.0,15.0,221.0,481.0,0.0,37,30,2037,475.0
111,2016-04-18 01:45:00,1.0,45.0,203.0,458.0,0.0,8,15,2533,172.0
111,2016-04-14 03:15:00,3.0,15.0,216.0,422.0,0.0,36,26,1216,270.0
111,2016-04-15 03:00:00,3.0,0.0,160.0,392.0,6.0,25,24,535,191.0
111,2016-04-14 20:45:00,20.0,45.0,129.0,333.0,5.0,5,8,168,338.0
111,2016-04-19 04:15:00,4.0,15.0,0.0,244.0,1.0,0,20,1275,84.0
111,2016-04-14 18:00:00,18.0,0.0,11.0,321.0,0.0,6,5,11,61.0
111,2016-04-13 21:00:00,21.0,0.0,41.0,345.0,21.0,5,4,101,299.0
111,2016-04-18 02:45:00,2.0,45.0,0.0,212.0,0.0,0,9,2355,0.0
111,2016-04-15 01:30:00,1.0,30.0,139.0,395.0,12.0,9,10,353,958.0
111,2016-04-17 03:00:00,3.0,0.0,215.0,494.0,3.0,53,50,1954,808.0
111,2016-04-19 01:15:00,1.0,15.0,123.0,433.0,4.0,12,9,868,149.0
111,2016-04-13 20:00:00,20.0,0.0,99.0,378.0,11.0,4,4,138,602.0
111,2016-04-16 01:30:00,1.0,30.0,109.0,434.0,35.0,31,21,738,2458.0
111,2016-04-19 01:45:00,1.0,45.0,159.0,458.0,1.0,21,14,1015,313.0
111,2016-04-16 19:30:00,19.0,30.0,62.0,577.0,16.0,8,10,166,1575.0
111,2016-04-17 00:45:00,0.0,45.0,197.0,533.0,7.0,41,34,1294,1063.0
111,2016-04-17 00:30:00,0.0,30.0,208.0,529.0,11.0,34,27,1228,560.0
111,2016-04-15 01:45:00,1.0,45.0,143.0,393.0,10.0,16,13,368,820.0
111,2016-04-16 00:15:00,0.0,15.0,45.0,460.0,41.0,4,2,438,1773.0
111,2016-04-17 01:30:00,1.0,30.0,214.0,567.0,14.0,23,33,1498,1173.0
111,2016-04-16 18:00:00,18.0,0.0,30.0,360.0,2.0,12,10,30,173.0
111,2016-04-17 02:30:00,2.0,30.0,187.0,478.0,6.0,43,35,1752,1015.0
111,2016-04-18 20:00:00,20.0,0.0,11.0,402.0,9.0,5,4,175,274.0
111,2016-04-13 19:45:00,19.0,45.0,94.0,397.0,8.0,9,9,124,339.0
