location,time,hour,minute,v_occ_min,w_occ_min,v_occ,win,wout,raw_occ_min,groundtruth
132,2016-04-17 23:45:00,23.0,45.0,185.0,530.0,16.0,73,68,1035,456.0
132,2016-04-16 23:15:00,23.0,15.0,883.0,137.0,0.0,21,52,2715,223.0
132,2016-04-18 18:45:00,18.0,45.0,56.0,140.0,9.0,13,12,26,46.0
132,2016-04-14 00:00:00,0.0,0.0,173.0,382.0,10.0,5,13,926,219.0
132,2016-04-15 19:15:00,19.0,15.0,144.0,405.0,9.0,16,13,249,109.0
132,2016-04-15 02:30:00,2.0,30.0,50.0,335.0,12.0,40,29,762,239.0
132,2016-04-15 19:30:00,19.0,30.0,149.0,463.0,10.0,21,19,274,154.0
132,2016-04-17 02:45:00,2.0,45.0,77.0,126.0,0.0,45,176,3338,46.0
132,2016-04-13 20:45:00,20.0,45.0,238.0,443.0,5.0,22,19,621,78.0
132,2016-04-14 21:15:00,21.0,15.0,72.0,355.0,31.0,21,22,-3,94.0
132,2016-04-16 20:45:00,20.0,45.0,164.0,370.0,41.0,55,57,1043,270.0
132,2016-04-19 02:45:00,2.0,45.0,39.0,128.0,11.0,18,10,782,145.0
132,2016-04-14 23:15:00,23.0,15.0,54.0,364.0,42.0,10,5,-36,134.0
132,2016-04-17 02:00:00,2.0,0.0,368.0,148.0,1.0,57,52,3305,106.0
132,2016-04-15 03:45:00,3.0,45.0,24.0,257.0,0.0,23,99,1204,19.0
132,2016-04-17 20:00:00,20.0,0.0,187.0,527.0,1.0,70,65,321,199.0
132,2016-04-14 03:45:00,3.0,45.0,11.0,316.0,0.0,5,56,1252,4.0
132,2016-04-19 00:00:00,0.0,0.0,102.0,129.0,20.0,18,13,401,63.0
132,2016-04-17 19:45:00,19.0,45.0,121.0,569.0,5.0,52,36,213,106.0
132,2016-04-14 17:45:00,17.0,45.0,26.0,333.0,6.0,23,23,-4,50.0
132,2016-04-16 02:45:00,2.0,45.0,191.0,345.0,11.0,69,66,1397,249.0
132,2016-04-16 03:45:00,3.0,45.0,46.0,339.0,0.0,52,150,1669,46.0
132,2016-04-15 00:15:00,0.0,15.0,75.0,334.0,42.0,15,8,59,179.0
132,2016-04-16 01:45:00,1.0,45.0,111.0,394.0,27.0,27,31,992,163.0
132,2016-04-18 22:15:00,22.0,15.0,22.0,102.0,28.0,24,25,117,189.0
132,2016-04-16 02:15:00,2.0,15.0,137.0,384.0,20.0,51,48,1165,174.0
132,2016-04-13 21:45:00,21.0,45.0,294.0,433.0,4.0,20,24,784,86.0
132,2016-04-16 00:45:00,0.0,45.0,88.0,435.0,25.0,17,12,807,133.0
132,2016-04-14 21:45:00,21.0,45.0,98.0,307.0,30.0,12,8,23,8.0
132,2016-04-14 00:15:00,0.0,15.0,190.0,411.0,10.0,22,24,964,233.0
132,2016-04-17 21:30:00,21.0,30.0,297.0,520.0,9.0,49,51,685,290.0
132,2016-04-15 21:30:00,21.0,30.0,76.0,362.0,25.0,8,16,364,9.0
132,2016-04-14 22:15:00,22.0,15.0,117.0,379.0,41.0,12,21,27,52.0
132,2016-04-18 01:00:00,1.0,0.0,216.0,427.0,6.0,51,52,1372,284.0
132,2016-04-13 22:45:00,22.0,45.0,86.0,402.0,13.0,12,7,692,152.0
132,2016-04-18 00:15:00,0.0,15.0,130.0,537.0,8.0,91,78,1105,407.0
132,2016-04-14 19:45:00,19.0,45.0,32.0,344.0,20.0,13,14,-28,29.0
132,2016-04-15 18:15:00,18.0,15.0,29.0,402.0,9.0,20,18,50,56.0
132,2016-04-18 23:00:00,23.0,0.0,132.0,127.0,20.0,16,16,309,127.0
132,2016-04-17 19:15:00,19.0,15.0,80.0,509.0,15.0,45,45,104,153.0
132,2016-04-16 19:45:00,19.0,45.0,168.0,458.0,37.0,47,44,679,191.0
132,2016-04-17 23:15:00,23.0,15.0,202.0,547.0,19.0,49,50,932,374.0
132,2016-04-15 20:00:00,20.0,0.0,255.0,455.0,3.0,46,36,431,182.0
132,2016-04-16 02:00:00,2.0,0.0,59.0,395.0,21.0,39,30,992,142.0
132,2016-04-15 21:15:00,21.0,15.0,177.0,332.0,14.0,11,11,453,149.0
132,2016-04-17 20:15:00,20.0,15.0,216.0,496.0,6.0,31,33,385,116.0
132,2016-04-14 23:30:00,23.0,30.0,35.0,351.0,51.0,19,26,-55,118.0
132,2016-04-15 19:00:00,19.0,0.0,117.0,402.0,10.0,26,23,205,87.0
132,2016-04-19 00:45:00,0.0,45.0,67.0,166.0,22.0,21,20,483,118.0
132,2016-04-15 03:15:00,3.0,15.0,85.0,258.0,1.0,25,19,1107,149.0
132,2016-04-15 22:15:00,22.0,15.0,50.0,321.0,23.0,25,17,400,68.0
132,2016-04-18 18:15:00,18.0,15.0,23.0,134.0,7.0,4,2,-7,87.0
132,2016-04-15 01:00:00,1.0,0.0,73.0,376.0,43.0,25,28,228,229.0
132,2016-04-18 22:45:00,22.0,45.0,123.0,119.0,18.0,14,5,264,151.0
132,2016-04-16 20:00:00,20.0,0.0,147.0,464.0,38.0,27,21,747,148.0
132,2016-04-15 00:00:00,0.0,0.0,49.0,354.0,48.0,18,17,11,173.0
132,2016-04-14 20:30:00,20.0,30.0,109.0,385.0,17.0,24,21,47,117.0
132,2016-04-18 19:30:00,19.0,30.0,32.0,181.0,16.0,11,10,14,61.0
132,2016-04-15 21:45:00,21.0,45.0,102.0,355.0,21.0,38,32,408,39.0
132,2016-04-19 02:30:00,2.0,30.0,75.0,173.0,17.0,22,24,781,123.0
132,2016-04-14 02:00:00,2.0,0.0,208.0,435.0,6.0,35,40,1202,64.0
132,2016-04-13 19:30:00,19.0,30.0,206.0,453.0,6.0,6,9,462,87.0
132,2016-04-18 18:30:00,18.0,30.0,55.0,141.0,8.0,5,4,25,68.0
132,2016-04-14 19:15:00,19.0,15.0,70.0,404.0,14.0,10,12,24,79.0
132,2016-04-16 01:00:00,1.0,0.0,161.0,427.0,24.0,33,30,920,166.0
132,2016-04-19 03:15:00,3.0,15.0,94.0,139.0,10.0,22,26,966,54.0
132,2016-04-13 20:15:00,20.0,15.0,261.0,488.0,0.0,11,6,592,86.0
132,2016-04-18 18:00:00,18.0,0.0,15.0,117.0,7.0,0,0,-15,30.0
132,2016-04-15 18:00:00,18.0,0.0,56.0,390.0,9.0,14,13,68,109.0
132,2016-04-17 00:00:00,0.0,0.0,690.0,199.0,9.0,47,44,2792,261.0
132,2016-04-16 03:30:00,3.0,30.0,53.0,360.0,5.0,33,31,1562,95.0
132,2016-04-17 22:15:00,22.0,15.0,390.0,536.0,0.0,40,34,937,343.0
132,2016-04-17 01:15:00,1.0,15.0,536.0,161.0,4.0,37,38,3154,103.0
132,2016-04-15 00:30:00,0.0,30.0,54.0,365.0,49.0,21,25,76,177.0
132,2016-04-13 21:00:00,21.0,0.0,282.0,425.0,2.0,17,12,692,132.0
132,2016-04-13 18:15:00,18.0,15.0,110.0,364.0,7.0,7,4,248,93.0
132,2016-04-14 20:00:00,20.0,0.0,28.0,350.0,20.0,18,16,-32,22.0
132,2016-04-18 20:30:00,20.0,30.0,45.0,129.0,22.0,3,5,30,64.0
132,2016-04-18 20:15:00,20.0,15.0,49.0,154.0,18.0,10,8,34,82.0
132,2016-04-15 02:45:00,2.0,45.0,136.0,351.0,6.0,64,55,967,264.0
132,2016-04-14 00:45:00,0.0,45.0,256.0,394.0,6.0,19,16,1090,169.0
132,2016-04-18 20:45:00,20.0,45.0,16.0,146.0,25.0,12,14,2,71.0
132,2016-04-16 19:00:00,19.0,0.0,109.0,419.0,33.0,35,28,370,156.0
132,2016-04-17 20:30:00,20.0,30.0,137.0,519.0,19.0,35,43,341,121.0
132,2016-04-15 17:15:00,17.0,15.0,26.0,324.0,0.0,4,2,26,22.0
132,2016-04-13 22:15:00,22.0,15.0,225.0,425.0,8.0,20,19,785,23.0
132,2016-04-16 22:00:00,22.0,0.0,565.0,477.0,16.0,95,87,1928,469.0
132,2016-04-14 18:30:00,18.0,30.0,65.0,333.0,6.0,18,15,20,34.0
132,2016-04-14 01:15:00,1.0,15.0,242.0,385.0,7.0,19,20,1120,180.0
132,2016-04-16 20:15:00,20.0,15.0,268.0,434.0,24.0,59,37,958,308.0
132,2016-04-17 18:30:00,18.0,30.0,87.0,529.0,11.0,1,4,27,74.0
132,2016-04-19 03:00:00,3.0,0.0,88.0,128.0,5.0,27,19,895,136.0
132,2016-04-15 02:15:00,2.0,15.0,51.0,400.0,21.0,49,41,662,237.0
132,2016-04-15 17:45:00,17.0,45.0,41.0,453.0,5.0,10,8,41,106.0
132,2016-04-13 23:00:00,23.0,0.0,88.0,376.0,16.0,21,22,726,188.0
132,2016-04-19 01:00:00,1.0,0.0,49.0,130.0,22.0,14,12,499,167.0
132,2016-04-16 01:15:00,1.0,15.0,149.0,351.0,19.0,29,21,945,146.0
132,2016-04-13 21:30:00,21.0,30.0,297.0,448.0,1.0,10,8,765,76.0
132,2016-04-18 21:30:00,21.0,30.0,62.0,129.0,25.0,2,2,92,122.0
132,2016-04-16 03:00:00,3.0,0.0,80.0,354.0,12.0,67,65,1403,165.0
132,2016-04-16 03:15:00,3.0,15.0,48.0,351.0,4.0,42,32,1463,119.0
132,2016-04-16 00:00:00,0.0,0.0,106.0,445.0,27.0,25,23,694,155.0
132,2016-04-15 22:30:00,22.0,30.0,196.0,385.0,19.0,65,58,578,190.0
132,2016-04-18 21:15:00,21.0,15.0,20.0,124.0,23.0,10,5,35,94.0
132,2016-04-16 17:15:00,17.0,15.0,38.0,321.0,0.0,15,8,55,68.0
132,2016-04-16 18:15:00,18.0,15.0,108.0,390.0,25.0,35,39,209,283.0
132,2016-04-17 22:45:00,22.0,45.0,216.0,550.0,15.0,82,86,862,281.0
132,2016-04-14 18:15:00,18.0,15.0,50.0,365.0,7.0,9,9,5,6.0
132,2016-04-14 21:00:00,21.0,0.0,77.0,337.0,28.0,12,10,2,110.0
132,2016-04-13 18:00:00,18.0,0.0,119.0,336.0,8.0,23,25,240,119.0
132,2016-04-17 18:00:00,18.0,0.0,22.0,421.0,8.0,22,25,-18,25.0
132,2016-04-15 23:15:00,23.0,15.0,42.0,398.0,32.0,40,36,512,93.0
132,2016-04-18 21:45:00,21.0,45.0,67.0,123.0,25.0,7,5,109,137.0
132,2016-04-13 19:00:00,19.0,0.0,167.0,447.0,6.0,26,22,378,71.0
132,2016-04-19 03:45:00,3.0,45.0,37.0,125.0,0.0,32,95,1080,37.0
132,2016-04-14 03:30:00,3.0,30.0,51.0,357.0,2.0,12,16,1269,20.0
132,2016-04-14 22:45:00,22.0,45.0,44.0,361.0,41.0,9,6,-46,51.0
132,2016-04-14 22:00:00,22.0,0.0,202.0,366.0,30.0,30,27,115,89.0
132,2016-04-15 20:15:00,20.0,15.0,296.0,381.0,3.0,13,10,493,127.0
132,2016-04-13 17:45:00,17.0,45.0,101.0,310.0,3.0,10,8,199,101.0
132,2016-04-18 17:15:00,17.0,15.0,3.0,97.0,3.0,1,2,3,0.0
132,2016-04-19 02:15:00,2.0,15.0,91.0,180.0,13.0,27,23,747,180.0
132,2016-04-17 22:30:00,22.0,30.0,389.0,575.0,8.0,46,51,978,327.0
