location,time,hour,minutes,video occ minutes,wifi occ minutes,video occupancy,groundtruth occ minutes,fusion occ minutes
113,2016-04-17 23:45:00,23.0,45.0,97.0,475.0,7.0,926.0,920
113,2016-04-18 22:45:00,22.0,45.0,34.0,285.0,0.0,160.0,114
113,2016-04-16 23:15:00,23.0,15.0,192.0,551.0,13.0,774.0,782
113,2016-04-16 02:15:00,2.0,15.0,92.0,373.0,0.0,426.0,321
113,2016-04-18 18:45:00,18.0,45.0,69.0,297.0,5.0,152.0,105
113,2016-04-14 00:00:00,0.0,0.0,59.0,306.0,4.0,85.0,154
113,2016-04-15 19:15:00,19.0,15.0,154.0,314.0,10.0,127.0,128
113,2016-04-15 02:30:00,2.0,30.0,182.0,336.0,7.0,216.0,211
113,2016-04-15 04:30:00,4.0,30.0,0.0,212.0,0.0,0.0,5
113,2016-04-15 19:30:00,19.0,30.0,115.0,339.0,12.0,141.0,144
113,2016-04-17 02:45:00,2.0,45.0,373.0,541.0,16.0,490.0,484
113,2016-04-13 20:45:00,20.0,45.0,24.0,394.0,1.0,127.0,135
113,2016-04-14 21:15:00,21.0,15.0,63.0,344.0,6.0,141.0,192
113,2016-04-16 20:45:00,20.0,45.0,294.0,438.0,16.0,346.0,357
113,2016-04-16 03:30:00,3.0,30.0,141.0,410.0,8.0,385.0,294
113,2016-04-14 23:15:00,23.0,15.0,79.0,449.0,0.0,161.0,244
113,2016-04-18 03:15:00,3.0,15.0,70.0,266.0,1.0,73.0,163
113,2016-04-17 02:00:00,2.0,0.0,341.0,498.0,20.0,554.0,565
113,2016-04-17 04:45:00,4.0,45.0,4.0,254.0,0.0,0.0,5
113,2016-04-15 03:45:00,3.0,45.0,58.0,279.0,0.0,85.0,151
113,2016-04-17 20:00:00,20.0,0.0,122.0,420.0,8.0,241.0,247
113,2016-04-14 03:45:00,3.0,45.0,30.0,285.0,1.0,158.0,157
113,2016-04-19 00:00:00,0.0,0.0,146.0,315.0,7.0,121.0,190
113,2016-04-17 19:45:00,19.0,45.0,102.0,410.0,10.0,284.0,218
113,2016-04-16 04:00:00,4.0,0.0,66.0,285.0,4.0,43.0,74
113,2016-04-16 02:45:00,2.0,45.0,25.0,379.0,0.0,249.0,247
113,2016-04-16 03:45:00,3.0,45.0,115.0,347.0,5.0,125.0,185
113,2016-04-15 00:15:00,0.0,15.0,155.0,454.0,13.0,307.0,346
113,2016-04-16 01:45:00,1.0,45.0,223.0,467.0,12.0,371.0,430
113,2016-04-18 22:15:00,22.0,15.0,63.0,240.0,3.0,58.0,122
113,2016-04-15 01:00:00,1.0,0.0,144.0,372.0,6.0,249.0,230
113,2016-04-13 21:45:00,21.0,45.0,17.0,243.0,1.0,99.0,75
113,2016-04-18 03:00:00,3.0,0.0,131.0,305.0,6.0,91.0,152
113,2016-04-16 00:45:00,0.0,45.0,295.0,342.0,15.0,431.0,400
113,2016-04-14 21:45:00,21.0,45.0,185.0,415.0,11.0,213.0,280
113,2016-04-14 00:15:00,0.0,15.0,61.0,292.0,3.0,97.0,116
113,2016-04-17 21:30:00,21.0,30.0,75.0,470.0,9.0,576.0,615
113,2016-04-15 21:30:00,21.0,30.0,301.0,322.0,18.0,510.0,476
113,2016-04-14 22:15:00,22.0,15.0,200.0,387.0,10.0,132.0,233
113,2016-04-18 01:00:00,1.0,0.0,321.0,506.0,22.0,704.0,663
113,2016-04-13 22:45:00,22.0,45.0,145.0,331.0,9.0,212.0,173
113,2016-04-14 04:30:00,4.0,30.0,0.0,203.0,0.0,15.0,5
113,2016-04-18 00:15:00,0.0,15.0,150.0,611.0,7.0,938.0,908
113,2016-04-14 19:45:00,19.0,45.0,92.0,377.0,6.0,48.0,153
113,2016-04-15 18:15:00,18.0,15.0,55.0,295.0,7.0,128.0,106
113,2016-04-18 23:00:00,23.0,0.0,40.0,319.0,2.0,222.0,188
113,2016-04-16 19:45:00,19.0,45.0,127.0,465.0,12.0,354.0,397
113,2016-04-17 23:15:00,23.0,15.0,90.0,483.0,5.0,1123.0,1106
113,2016-04-15 20:00:00,20.0,0.0,127.0,324.0,9.0,253.0,169
113,2016-04-17 04:00:00,4.0,0.0,78.0,314.0,2.0,34.0,95
113,2016-04-16 02:00:00,2.0,0.0,199.0,396.0,12.0,460.0,368
113,2016-04-18 18:00:00,18.0,0.0,15.0,240.0,1.0,34.0,5
113,2016-04-15 21:15:00,21.0,15.0,304.0,390.0,22.0,613.0,569
113,2016-04-17 20:15:00,20.0,15.0,135.0,416.0,11.0,195.0,243
113,2016-04-14 23:30:00,23.0,30.0,24.0,425.0,3.0,185.0,249
113,2016-04-15 19:00:00,19.0,0.0,154.0,322.0,14.0,128.0,163
113,2016-04-19 00:45:00,0.0,45.0,111.0,247.0,2.0,222.0,178
113,2016-04-15 03:15:00,3.0,15.0,145.0,347.0,7.0,280.0,219
113,2016-04-15 22:15:00,22.0,15.0,223.0,424.0,14.0,495.0,421
113,2016-04-18 18:15:00,18.0,15.0,43.0,247.0,4.0,50.0,76
113,2016-04-14 01:30:00,1.0,30.0,100.0,256.0,8.0,247.0,212
113,2016-04-16 21:15:00,21.0,15.0,162.0,445.0,5.0,443.0,369
113,2016-04-16 20:00:00,20.0,0.0,340.0,501.0,23.0,284.0,333
113,2016-04-15 00:00:00,0.0,0.0,50.0,468.0,3.0,143.0,216
113,2016-04-14 20:30:00,20.0,30.0,97.0,356.0,4.0,150.0,110
113,2016-04-18 19:30:00,19.0,30.0,57.0,264.0,4.0,96.0,75
113,2016-04-15 21:45:00,21.0,45.0,243.0,370.0,15.0,399.0,390
113,2016-04-19 02:30:00,2.0,30.0,96.0,275.0,2.0,326.0,226
113,2016-04-17 04:15:00,4.0,15.0,73.0,276.0,1.0,23.0,42
113,2016-04-14 02:00:00,2.0,0.0,127.0,324.0,11.0,285.0,241
113,2016-04-18 02:30:00,2.0,30.0,243.0,421.0,15.0,180.0,292
113,2016-04-13 19:30:00,19.0,30.0,78.0,300.0,4.0,12.0,78
113,2016-04-18 18:30:00,18.0,30.0,68.0,269.0,4.0,61.0,75
113,2016-04-14 19:15:00,19.0,15.0,159.0,393.0,6.0,105.0,141
113,2016-04-16 01:00:00,1.0,0.0,245.0,359.0,14.0,422.0,392
113,2016-04-19 03:15:00,3.0,15.0,111.0,319.0,6.0,287.0,220
113,2016-04-13 20:15:00,20.0,15.0,66.0,340.0,3.0,121.0,120
113,2016-04-17 22:15:00,22.0,15.0,62.0,415.0,2.0,720.0,506
113,2016-04-15 04:00:00,4.0,0.0,17.0,263.0,1.0,29.0,10
113,2016-04-15 18:00:00,18.0,0.0,11.0,293.0,2.0,18.0,35
113,2016-04-17 00:00:00,0.0,0.0,91.0,542.0,0.0,620.0,605
113,2016-04-16 04:15:00,4.0,15.0,48.0,272.0,3.0,31.0,71
113,2016-04-13 22:30:00,22.0,30.0,138.0,325.0,6.0,199.0,173
113,2016-04-15 00:30:00,0.0,30.0,180.0,443.0,10.0,287.0,329
113,2016-04-19 04:00:00,4.0,0.0,15.0,134.0,0.0,23.0,5
113,2016-04-13 18:15:00,18.0,15.0,72.0,310.0,8.0,132.0,126
113,2016-04-14 20:00:00,20.0,0.0,172.0,332.0,8.0,139.0,141
113,2016-04-18 20:30:00,20.0,30.0,190.0,294.0,10.0,150.0,148
113,2016-04-18 20:15:00,20.0,15.0,125.0,354.0,11.0,178.0,163
113,2016-04-15 02:45:00,2.0,45.0,133.0,350.0,7.0,146.0,181
113,2016-04-14 00:45:00,0.0,45.0,70.0,305.0,4.0,57.0,107
113,2016-04-18 20:45:00,20.0,45.0,159.0,321.0,10.0,132.0,146
113,2016-04-16 19:00:00,19.0,0.0,133.0,385.0,6.0,168.0,143
113,2016-04-17 20:30:00,20.0,30.0,128.0,441.0,11.0,252.0,270
113,2016-04-13 22:15:00,22.0,15.0,196.0,350.0,12.0,257.0,301
113,2016-04-16 22:00:00,22.0,0.0,64.0,428.0,9.0,646.0,572
113,2016-04-14 18:30:00,18.0,30.0,38.0,333.0,4.0,95.0,93
113,2016-04-14 01:15:00,1.0,15.0,68.0,272.0,4.0,177.0,152
113,2016-04-16 20:15:00,20.0,15.0,330.0,427.0,23.0,319.0,334
113,2016-04-17 18:30:00,18.0,30.0,94.0,385.0,8.0,139.0,142
113,2016-04-19 03:00:00,3.0,0.0,55.0,306.0,4.0,365.0,245
113,2016-04-15 02:15:00,2.0,15.0,179.0,350.0,8.0,162.0,212
113,2016-04-13 23:00:00,23.0,0.0,88.0,320.0,3.0,162.0,168
113,2016-04-19 01:00:00,1.0,0.0,45.0,263.0,2.0,194.0,159
113,2016-04-17 03:30:00,3.0,30.0,257.0,427.0,15.0,395.0,363
113,2016-04-16 01:15:00,1.0,15.0,205.0,400.0,11.0,414.0,398
113,2016-04-18 21:30:00,21.0,30.0,21.0,293.0,2.0,179.0,149
113,2016-04-16 03:00:00,3.0,0.0,65.0,376.0,4.0,356.0,276
113,2016-04-16 03:15:00,3.0,15.0,172.0,440.0,13.0,524.0,337
113,2016-04-19 01:30:00,1.0,30.0,81.0,252.0,4.0,203.0,185
113,2016-04-14 04:15:00,4.0,15.0,0.0,204.0,0.0,15.0,5
113,2016-04-15 22:30:00,22.0,30.0,206.0,377.0,11.0,541.0,477
113,2016-04-18 21:15:00,21.0,15.0,91.0,291.0,5.0,121.0,134
113,2016-04-16 18:15:00,18.0,15.0,62.0,340.0,6.0,72.0,131
113,2016-04-17 22:45:00,22.0,45.0,82.0,458.0,5.0,1063.0,962
113,2016-04-14 18:15:00,18.0,15.0,43.0,338.0,3.0,87.0,92
113,2016-04-14 21:00:00,21.0,0.0,96.0,335.0,0.0,98.0,91
113,2016-04-13 18:00:00,18.0,0.0,5.0,323.0,0.0,19.0,44
113,2016-04-16 04:45:00,4.0,45.0,0.0,249.0,0.0,0.0,5
113,2016-04-17 18:00:00,18.0,0.0,36.0,330.0,2.0,28.0,92
113,2016-04-15 23:15:00,23.0,15.0,333.0,426.0,25.0,442.0,439
113,2016-04-13 19:00:00,19.0,0.0,164.0,315.0,9.0,135.0,128
113,2016-04-19 03:45:00,3.0,45.0,51.0,217.0,1.0,67.0,97
113,2016-04-14 03:30:00,3.0,30.0,28.0,298.0,0.0,133.0,178
113,2016-04-14 22:00:00,22.0,0.0,189.0,423.0,12.0,191.0,243
113,2016-04-15 20:15:00,20.0,15.0,147.0,399.0,16.0,366.0,302
113,2016-04-19 02:15:00,2.0,15.0,63.0,335.0,4.0,232.0,233
113,2016-04-17 22:30:00,22.0,30.0,65.0,532.0,5.0,1013.0,899
113,2016-04-18 00:00:00,0.0,0.0,126.0,481.0,7.0,983.0,883
113,2016-04-15 20:45:00,20.0,45.0,193.0,310.0,14.0,368.0,318
113,2016-04-13 23:15:00,23.0,15.0,48.0,270.0,3.0,141.0,141
113,2016-04-17 23:00:00,23.0,0.0,76.0,494.0,6.0,1231.0,1141
113,2016-04-14 22:45:00,22.0,45.0,141.0,392.0,6.0,214.0,201
113,2016-04-14 18:45:00,18.0,45.0,95.0,399.0,3.0,89.0,175
113,2016-04-17 01:45:00,1.0,45.0,286.0,533.0,10.0,482.0,494
113,2016-04-17 21:15:00,21.0,15.0,150.0,530.0,8.0,577.0,598
113,2016-04-16 04:30:00,4.0,30.0,27.0,244.0,0.0,13.0,48
113,2016-04-13 22:00:00,22.0,0.0,141.0,351.0,14.0,156.0,215
113,2016-04-16 22:15:00,22.0,15.0,109.0,489.0,4.0,458.0,513
113,2016-04-17 19:00:00,19.0,0.0,70.0,387.0,0.0,208.0,143
113,2016-04-18 23:45:00,23.0,45.0,157.0,330.0,6.0,200.0,171
113,2016-04-14 01:00:00,1.0,0.0,60.0,289.0,5.0,126.0,156
113,2016-04-16 23:45:00,23.0,45.0,151.0,490.0,5.0,802.0,853
113,2016-04-19 02:00:00,2.0,0.0,101.0,288.0,2.0,196.0,202
113,2016-04-13 23:30:00,23.0,30.0,58.0,268.0,4.0,98.0,130
113,2016-04-18 01:15:00,1.0,15.0,317.0,460.0,19.0,604.0,574
113,2016-04-18 22:30:00,22.0,30.0,49.0,283.0,2.0,70.0,145
113,2016-04-15 19:45:00,19.0,45.0,139.0,379.0,13.0,203.0,188
113,2016-04-16 00:30:00,0.0,30.0,340.0,347.0,20.0,504.0,481
113,2016-04-19 00:30:00,0.0,30.0,96.0,334.0,1.0,86.0,141
113,2016-04-18 21:00:00,21.0,0.0,137.0,275.0,10.0,110.0,141
113,2016-04-17 18:15:00,18.0,15.0,31.0,358.0,1.0,77.0,102
113,2016-04-17 19:15:00,19.0,15.0,19.0,333.0,5.0,191.0,175
113,2016-04-15 22:00:00,22.0,0.0,216.0,427.0,13.0,457.0,445
113,2016-04-16 18:45:00,18.0,45.0,134.0,386.0,5.0,211.0,151
113,2016-04-15 04:15:00,4.0,15.0,13.0,242.0,0.0,14.0,5
113,2016-04-13 18:30:00,18.0,30.0,147.0,327.0,12.0,121.0,144
113,2016-04-17 02:15:00,2.0,15.0,354.0,530.0,18.0,568.0,560
113,2016-04-15 18:45:00,18.0,45.0,104.0,336.0,12.0,168.0,140
113,2016-04-14 19:30:00,19.0,30.0,112.0,351.0,2.0,47.0,98
113,2016-04-17 01:00:00,1.0,0.0,187.0,529.0,13.0,647.0,632
113,2016-04-19 02:45:00,2.0,45.0,84.0,311.0,3.0,323.0,227
113,2016-04-18 19:00:00,19.0,0.0,70.0,335.0,3.0,110.0,103
113,2016-04-13 20:30:00,20.0,30.0,64.0,389.0,0.0,112.0,151
