location,time,hour,minutes,video occ minutes,wifi occ minutes,video occupancy,groundtruth occ minutes,fusion occ minutes
125,2016-04-17 21:45:00,21.0,45.0,169.0,44.0,10.0,200.0,118
125,2016-04-15 01:15:00,1.0,15.0,24.0,28.0,0.0,26.0,38
125,2016-04-14 02:45:00,2.0,45.0,22.0,43.0,2.0,54.0,44
125,2016-04-18 21:45:00,21.0,45.0,65.0,75.0,3.0,52.0,73
125,2016-04-18 00:45:00,0.0,45.0,41.0,44.0,2.0,259.0,56
125,2016-04-16 21:30:00,21.0,30.0,297.0,60.0,17.0,160.0,200
125,2016-04-17 23:30:00,23.0,30.0,89.0,30.0,3.0,59.0,62
125,2016-04-18 01:30:00,1.0,30.0,0.0,30.0,0.0,15.0,26
125,2016-04-14 04:00:00,4.0,0.0,0.0,38.0,0.0,0.0,30
125,2016-04-18 00:30:00,0.0,30.0,52.0,35.0,0.0,144.0,56
125,2016-04-17 02:30:00,2.0,30.0,68.0,30.0,3.0,97.0,63
125,2016-04-18 19:45:00,19.0,45.0,22.0,69.0,3.0,28.0,48
125,2016-04-15 20:30:00,20.0,30.0,8.0,29.0,0.0,9.0,18
125,2016-04-13 18:45:00,18.0,45.0,13.0,37.0,0.0,21.0,25
125,2016-04-14 04:45:00,4.0,45.0,0.0,32.0,0.0,0.0,24
125,2016-04-14 23:45:00,23.0,45.0,26.0,35.0,4.0,88.0,31
125,2016-04-16 21:45:00,21.0,45.0,247.0,54.0,13.0,64.0,166
125,2016-04-16 22:30:00,22.0,30.0,239.0,36.0,15.0,50.0,155
125,2016-04-17 03:15:00,3.0,15.0,0.0,30.0,0.0,0.0,25
125,2016-04-18 01:45:00,1.0,45.0,0.0,31.0,0.0,0.0,25
125,2016-04-14 03:15:00,3.0,15.0,0.0,42.0,0.0,0.0,31
125,2016-04-15 03:00:00,3.0,0.0,0.0,30.0,0.0,2.0,26
125,2016-04-14 20:45:00,20.0,45.0,5.0,48.0,1.0,46.0,26
125,2016-04-19 04:15:00,4.0,15.0,0.0,46.0,0.0,0.0,33
125,2016-04-14 18:00:00,18.0,0.0,5.0,44.0,1.0,18.0,28
125,2016-04-13 21:00:00,21.0,0.0,94.0,29.0,8.0,49.0,71
125,2016-04-19 01:30:00,1.0,30.0,30.0,67.0,1.0,15.0,61
125,2016-04-15 01:30:00,1.0,30.0,12.0,30.0,2.0,51.0,33
125,2016-04-17 03:00:00,3.0,0.0,8.0,30.0,0.0,5.0,31
125,2016-04-19 01:15:00,1.0,15.0,32.0,65.0,1.0,15.0,62
125,2016-04-13 20:00:00,20.0,0.0,60.0,31.0,5.0,0.0,53
125,2016-04-16 01:30:00,1.0,30.0,126.0,39.0,10.0,137.0,105
125,2016-04-19 01:45:00,1.0,45.0,38.0,62.0,2.0,36.0,63
125,2016-04-16 19:30:00,19.0,30.0,98.0,52.0,6.0,130.0,83
125,2016-04-17 00:45:00,0.0,45.0,91.0,29.0,6.0,62.0,78
125,2016-04-17 00:30:00,0.0,30.0,136.0,30.0,4.0,96.0,101
125,2016-04-15 01:45:00,1.0,45.0,30.0,28.0,2.0,35.0,41
125,2016-04-16 00:15:00,0.0,15.0,139.0,30.0,7.0,137.0,106
125,2016-04-17 01:30:00,1.0,30.0,71.0,30.0,0.0,32.0,63
125,2016-04-16 18:00:00,18.0,0.0,52.0,59.0,0.0,47.0,60
125,2016-04-16 21:00:00,21.0,0.0,275.0,58.0,17.0,174.0,189
125,2016-04-18 20:00:00,20.0,0.0,63.0,74.0,5.0,62.0,76
125,2016-04-13 19:45:00,19.0,45.0,60.0,30.0,5.0,11.0,50
125,2016-04-16 02:30:00,2.0,30.0,56.0,31.0,5.0,55.0,59
125,2016-04-16 19:15:00,19.0,15.0,89.0,57.0,5.0,139.0,81
125,2016-04-14 20:15:00,20.0,15.0,28.0,50.0,2.0,45.0,42
125,2016-04-13 19:15:00,19.0,15.0,73.0,33.0,5.0,44.0,60
125,2016-04-15 21:00:00,21.0,0.0,32.0,34.0,3.0,37.0,37
125,2016-04-16 00:00:00,0.0,0.0,172.0,32.0,9.0,151.0,127
125,2016-04-15 23:30:00,23.0,30.0,91.0,35.0,4.0,37.0,67
125,2016-04-15 18:30:00,18.0,30.0,30.0,53.0,3.0,87.0,46
125,2016-04-14 22:30:00,22.0,30.0,33.0,33.0,2.0,32.0,34
125,2016-04-17 20:45:00,20.0,45.0,59.0,33.0,9.0,115.0,53
125,2016-04-14 01:45:00,1.0,45.0,69.0,44.0,6.0,125.0,73
125,2016-04-16 23:30:00,23.0,30.0,219.0,29.0,18.0,77.0,142
125,2016-04-17 03:45:00,3.0,45.0,0.0,27.0,0.0,0.0,22
125,2016-04-13 23:45:00,23.0,45.0,1.0,44.0,1.0,58.0,20
125,2016-04-16 18:30:00,18.0,30.0,68.0,59.0,1.0,137.0,67
125,2016-04-15 02:00:00,2.0,0.0,30.0,28.0,2.0,75.0,43
125,2016-04-15 00:45:00,0.0,45.0,41.0,34.0,3.0,75.0,51
125,2016-04-14 00:30:00,0.0,30.0,35.0,53.0,1.0,121.0,57
125,2016-04-14 03:00:00,3.0,0.0,24.0,43.0,0.0,18.0,46
125,2016-04-17 21:00:00,21.0,0.0,159.0,53.0,10.0,208.0,120
125,2016-04-15 23:45:00,23.0,45.0,91.0,32.0,7.0,39.0,67
125,2016-04-19 00:15:00,0.0,15.0,108.0,66.0,6.0,127.0,107
125,2016-04-18 23:30:00,23.0,30.0,63.0,69.0,1.0,62.0,67
125,2016-04-19 03:30:00,3.0,30.0,0.0,48.0,0.0,0.0,34
125,2016-04-15 03:30:00,3.0,30.0,0.0,37.0,0.0,0.0,28
125,2016-04-13 21:30:00,21.0,30.0,84.0,31.0,8.0,74.0,65
125,2016-04-14 21:30:00,21.0,30.0,28.0,29.0,3.0,16.0,31
125,2016-04-18 23:15:00,23.0,15.0,97.0,71.0,3.0,96.0,89
125,2016-04-17 23:45:00,23.0,45.0,61.0,35.0,1.0,148.0,48
125,2016-04-18 22:45:00,22.0,45.0,42.0,69.0,0.0,37.0,55
125,2016-04-16 23:15:00,23.0,15.0,195.0,32.0,12.0,0.0,128
