location_id,time,v,w,occupancy,groundtruth
113,2016-04-14 00:15:00,61,292,3,97.0
113,2016-04-17 21:30:00,75,470,9,576.0
113,2016-04-15 21:30:00,301,322,18,510.0
113,2016-04-14 22:15:00,200,387,10,132.0
113,2016-04-18 01:00:00,321,506,22,704.0
113,2016-04-13 22:45:00,145,331,9,212.0
113,2016-04-14 04:30:00,0,203,0,15.0
113,2016-04-18 00:15:00,150,611,7,938.0
113,2016-04-14 19:45:00,92,377,6,48.0
113,2016-04-15 18:15:00,55,295,7,128.0
113,2016-04-18 23:00:00,40,319,2,222.0
113,2016-04-16 19:45:00,127,465,12,354.0
113,2016-04-17 23:15:00,90,483,5,1123.0
113,2016-04-15 20:00:00,127,324,9,253.0
113,2016-04-17 04:00:00,78,314,2,34.0
113,2016-04-16 02:00:00,199,396,12,460.0
113,2016-04-18 18:00:00,15,240,1,34.0
113,2016-04-15 21:15:00,304,390,22,613.0
113,2016-04-17 20:15:00,135,416,11,195.0
113,2016-04-14 23:30:00,24,425,3,185.0
113,2016-04-15 19:00:00,154,322,14,128.0
113,2016-04-19 00:45:00,111,247,2,222.0
113,2016-04-15 03:15:00,145,347,7,280.0
113,2016-04-15 22:15:00,223,424,14,495.0
113,2016-04-18 18:15:00,43,247,4,50.0
113,2016-04-14 01:30:00,100,256,8,247.0
113,2016-04-16 21:15:00,162,445,5,443.0
113,2016-04-16 20:00:00,340,501,23,284.0
113,2016-04-15 00:00:00,50,468,3,143.0
113,2016-04-14 20:30:00,97,356,4,150.0
113,2016-04-18 19:30:00,57,264,4,96.0
113,2016-04-15 21:45:00,243,370,15,399.0
113,2016-04-19 02:30:00,96,275,2,326.0
113,2016-04-17 04:15:00,73,276,1,23.0
113,2016-04-14 02:00:00,127,324,11,285.0
113,2016-04-18 02:30:00,243,421,15,180.0
113,2016-04-13 19:30:00,78,300,4,12.0
113,2016-04-18 18:30:00,68,269,4,61.0
113,2016-04-14 19:15:00,159,393,6,105.0
113,2016-04-16 01:00:00,245,359,14,422.0
113,2016-04-19 03:15:00,111,319,6,287.0
113,2016-04-13 20:15:00,66,340,3,121.0
113,2016-04-17 22:15:00,62,415,2,720.0
113,2016-04-15 04:00:00,17,263,1,29.0
113,2016-04-15 18:00:00,11,293,2,18.0
113,2016-04-17 00:00:00,91,542,0,620.0
113,2016-04-16 04:15:00,48,272,3,31.0
113,2016-04-13 22:30:00,138,325,6,199.0
113,2016-04-15 00:30:00,180,443,10,287.0
113,2016-04-19 04:00:00,15,134,0,23.0
113,2016-04-13 18:15:00,72,310,8,132.0
113,2016-04-14 20:00:00,172,332,8,139.0
113,2016-04-18 20:30:00,190,294,10,150.0
113,2016-04-18 20:15:00,125,354,11,178.0
113,2016-04-15 02:45:00,133,350,7,146.0
113,2016-04-14 00:45:00,70,305,4,57.0
113,2016-04-18 20:45:00,159,321,10,132.0
113,2016-04-16 19:00:00,133,385,6,168.0
113,2016-04-17 20:30:00,128,441,11,252.0
113,2016-04-13 22:15:00,196,350,12,257.0
113,2016-04-16 22:00:00,64,428,9,646.0
113,2016-04-14 18:30:00,38,333,4,95.0
113,2016-04-14 01:15:00,68,272,4,177.0
113,2016-04-16 20:15:00,330,427,23,319.0
113,2016-04-17 18:30:00,94,385,8,139.0
113,2016-04-19 03:00:00,55,306,4,365.0
113,2016-04-15 02:15:00,179,350,8,162.0
113,2016-04-13 23:00:00,88,320,3,162.0
113,2016-04-19 01:00:00,45,263,2,194.0
113,2016-04-17 03:30:00,257,427,15,395.0
113,2016-04-16 01:15:00,205,400,11,414.0
113,2016-04-18 21:30:00,21,293,2,179.0
113,2016-04-16 03:00:00,65,376,4,356.0
113,2016-04-16 03:15:00,172,440,13,524.0
113,2016-04-19 01:30:00,81,252,4,203.0
113,2016-04-14 04:15:00,0,204,0,15.0
113,2016-04-15 22:30:00,206,377,11,541.0
113,2016-04-18 21:15:00,91,291,5,121.0
113,2016-04-16 18:15:00,62,340,6,72.0
113,2016-04-17 22:45:00,82,458,5,1063.0
113,2016-04-14 18:15:00,43,338,3,87.0
113,2016-04-14 21:00:00,96,335,0,98.0
113,2016-04-13 18:00:00,5,323,0,19.0
113,2016-04-16 04:45:00,0,249,0,0.0
113,2016-04-17 18:00:00,36,330,2,28.0
113,2016-04-15 23:15:00,333,426,25,442.0
113,2016-04-13 19:00:00,164,315,9,135.0
113,2016-04-19 03:45:00,51,217,1,67.0
113,2016-04-14 03:30:00,28,298,0,133.0
113,2016-04-14 22:00:00,189,423,12,191.0
113,2016-04-15 20:15:00,147,399,16,366.0
113,2016-04-19 02:15:00,63,335,4,232.0
113,2016-04-17 22:30:00,65,532,5,1013.0
113,2016-04-18 00:00:00,126,481,7,983.0
113,2016-04-15 20:45:00,193,310,14,368.0
113,2016-04-13 23:15:00,48,270,3,141.0
113,2016-04-17 23:00:00,76,494,6,1231.0
113,2016-04-14 22:45:00,141,392,6,214.0
113,2016-04-14 18:45:00,95,399,3,89.0
113,2016-04-17 01:45:00,286,533,10,482.0
113,2016-04-17 21:15:00,150,530,8,577.0
113,2016-04-16 04:30:00,27,244,0,13.0
113,2016-04-13 22:00:00,141,351,14,156.0
113,2016-04-16 22:15:00,109,489,4,458.0
113,2016-04-17 19:00:00,70,387,0,208.0
113,2016-04-18 23:45:00,157,330,6,200.0
113,2016-04-14 01:00:00,60,289,5,126.0
113,2016-04-16 23:45:00,151,490,5,802.0
113,2016-04-19 02:00:00,101,288,2,196.0
113,2016-04-13 23:30:00,58,268,4,98.0
113,2016-04-18 01:15:00,317,460,19,604.0
113,2016-04-18 22:30:00,49,283,2,70.0
113,2016-04-15 19:45:00,139,379,13,203.0
113,2016-04-16 00:30:00,340,347,20,504.0
113,2016-04-19 00:30:00,96,334,1,86.0
113,2016-04-18 21:00:00,137,275,10,110.0
113,2016-04-17 18:15:00,31,358,1,77.0
113,2016-04-17 19:15:00,19,333,5,191.0
113,2016-04-15 22:00:00,216,427,13,457.0
113,2016-04-16 18:45:00,134,386,5,211.0
113,2016-04-15 04:15:00,13,242,0,14.0
113,2016-04-13 18:30:00,147,327,12,121.0
113,2016-04-17 02:15:00,354,530,18,568.0
113,2016-04-15 18:45:00,104,336,12,168.0
113,2016-04-14 19:30:00,112,351,2,47.0
113,2016-04-17 01:00:00,187,529,13,647.0
113,2016-04-19 02:45:00,84,311,3,323.0
113,2016-04-18 19:00:00,70,335,3,110.0
113,2016-04-13 20:30:00,64,389,0,112.0
113,2016-04-14 23:00:00,102,423,7,172.0
113,2016-04-18 22:00:00,34,286,2,112.0
113,2016-04-15 04:45:00,0,231,0,0.0
113,2016-04-19 04:30:00,15,124,0,15.0
113,2016-04-18 02:15:00,317,374,17,180.0
113,2016-04-17 19:30:00,66,414,1,179.0
113,2016-04-18 19:15:00,47,270,3,113.0
113,2016-04-15 23:00:00,280,374,19,450.0
113,2016-04-17 22:00:00,52,395,5,755.0
113,2016-04-17 01:15:00,233,578,13,655.0
113,2016-04-16 20:30:00,352,413,20,342.0
113,2016-04-16 22:45:00,98,498,13,558.0
113,2016-04-13 21:15:00,28,294,2,114.0
113,2016-04-16 23:00:00,213,545,14,727.0
113,2016-04-14 19:00:00,133,412,6,96.0
113,2016-04-14 02:30:00,68,322,4,252.0
113,2016-04-15 22:45:00,192,384,17,496.0
113,2016-04-14 02:15:00,113,325,7,282.0
113,2016-04-17 00:15:00,74,526,9,724.0
113,2016-04-17 04:30:00,38,270,0,1.0
