-44,-49,17,15,548,187,6,2
-44,-54,30,19,382,382,7,2
-40,-52,44,32,10,9,0,4
-20,-64,89,147,429,0,0,1
-36,-57,73,123,149,8,3,1
-44,-49,8,109,671,5,7,2
-26,-51,147,273,566,12,5,1
-60,-66,6,91,664,0,5,2
-42,-55,142,17,448,7,1,1
-38,-60,47,472,609,11,6,2
-44,-52,47,34,661,59,6,2
-30,-53,111,336,571,9,5,2
-58,-70,22,145,87,0,0,3
-36,-67,77,86,368,223,1,3
-60,-70,20,247,672,1,7,2
-54,-67,33,14,257,12,0,3
-68,-76,14,32,31,2,0,3
-54,-64,33,61,14,0,0,3
-28,-43,40,30,552,142,6,2
-54,-78,17,2014,672,8,7,2
-40,-52,41,15,6,1,0,3
-28,-49,105,313,561,8,5,1
-68,-74,14,15,57,3,0,3
-40,-48,19,355,670,6,7,2
-50,-56,14,137,669,11,7,2
-58,-68,4,2135,656,6,6,2
-54,-70,55,21,46,0,0,3
-40,-49,9,392,487,8,7,2
-42,-49,13,103,662,55,7,2
-70,-81,11,166,673,2,1,4
-46,-62,32,14,14,1,0,3
-36,-45,46,72,49,1,0,3
-28,-41,67,56,608,2,1,4
-46,-55,37,59,24,5,0,3
-38,-55,171,28,29,1,0,3
-48,-64,30,130,353,12,1,4
-58,-75,47,42,131,70,0,3
-48,-64,28,334,474,57,4,1
-58,-70,22,57,250,5,0,3
-52,-68,34,95,226,162,1,3
-44,-66,118,25,442,215,0,4
-40,-51,23,206,513,12,1,4
-40,-46,9,121,655,65,7,2
-36,-40,5,40,536,139,6,2
-34,-45,45,81,15,2,0,3
-42,-53,38,18,23,1,0,3
-38,-64,88,390,575,11,4,1
-62,-70,8,325,9,8,0,4
-40,-54,42,92,358,5,0,1
-76,-86,15,80,672,184,7,2
-54,-68,39,87,45,0,0,3
-40,-42,5,17,616,598,7,2
-62,-69,14,32,11,0,0,3
-80,-89,11,90,674,5,7,2
-36,-40,4,59,586,1,7,2
-42,-60,93,44,608,11,3,1
-48,-61,34,61,15,0,0,3
-36,-41,9,83,668,8,7,2
-32,-39,18,147,16,4,0,3
-62,-71,6,535,674,1,7,2
-42,-59,114,31,140,3,0,3
-44,-54,26,40,97,4,0,4
-32,-43,102,12,422,144,5,1
-58,-64,7,50,563,271,6,2
-36,-66,39,234,564,2,4,2
-46,-71,55,216,674,0,3,2
-52,-63,27,40,11,1,0,3
-32,-55,67,140,558,38,4,2
-38,-50,17,195,673,0,7,2
-42,-64,94,78,178,0,5,1
-36,-64,220,36,431,277,0,4
-60,-68,14,304,674,10,7,2
-44,-55,11,341,486,6,7,2
-44,-56,49,20,24,3,0,3
-46,-61,52,197,187,1,0,3
-50,-71,53,133,466,20,0,4
-60,-64,20,17,478,4,2,2
-38,-44,19,120,154,8,3,2
-50,-58,26,29,9,3,0,4
-36,-72,57,28,317,11,0,3
-50,-70,53,483,612,9,4,2
-56,-65,14,141,671,5,7,2
-66,-75,26,47,656,194,7,2
-40,-48,24,22,8,7,0,4
-58,-77,70,20,373,4,0,4
-32,-57,129,30,30,11,0,3
-66,-84,29,42,586,397,1,4
-44,-53,54,19,7,1,0,3
-36,-54,57,153,256,2,0,3
-44,-54,43,78,71,1,0,3
-60,-69,20,62,70,4,0,3
-42,-46,11,63,663,11,7,2
-52,-57,15,150,655,10,2,2
-30,-47,58,198,171,152,0,4
-60,-65,8,61,603,268,6,2
-42,-53,17,113,665,66,7,2
-34,-44,39,482,445,7,7,2
-36,-51,58,28,6,0,0,3
-34,-40,20,230,672,9,7,2
-62,-74,12,836,113,5,0,3
-76,-85,12,96,670,200,7,2
-48,-54,9,32,454,269,7,2
-40,-68,131,109,536,1,3,1
-42,-56,38,33,493,1,7,2
-32,-53,86,63,265,259,1,4
-58,-63,12,115,663,8,7,2
-52,-74,71,36,338,237,0,4
-38,-51,76,22,34,0,0,3
-36,-39,5,14,633,403,3,2
-58,-69,21,328,672,7,2,2
-48,-62,29,24,50,5,0,3
-32,-38,18,18,89,12,0,3
-38,-43,21,23,597,13,7,2
-44,-68,19,25138,674,5,7,2
-60,-70,37,36,74,12,0,3
-42,-48,10,56,637,394,6,2
-38,-83,18,2358,674,11,7,2
-42,-51,30,20,6,0,0,3
-44,-53,56,13,466,10,2,1
-42,-69,39,51,544,201,6,1
-50,-61,33,55,77,3,0,3
-24,-54,93,240,267,6,1,3
-70,-86,14,5904,674,0,7,2
-62,-77,18,29,112,6,0,3
-44,-55,49,18,496,3,7,2
-70,-86,17,159,671,10,7,2
-26,-41,23,23,68,5,0,3
-52,-62,29,19,17,7,0,3
-46,-56,34,113,10,4,0,3
-54,-66,51,60,18,0,0,3
-44,-55,21,119,662,70,7,2
-48,-61,67,68,282,1,0,4
-44,-57,43,24,408,5,5,1
-42,-52,50,42,588,499,6,2
-32,-40,18,43,37,1,0,3
-38,-49,31,45,573,344,7,2
-48,-63,55,151,186,12,0,3
-46,-56,38,109,40,0,0,3
-44,-64,51,685,295,4,3,1
-60,-70,29,83,663,194,6,2
-40,-52,19,569,674,12,7,2
-34,-46,85,49,99,1,0,3
-34,-50,84,53,150,5,0,3
-38,-45,13,137,666,1,7,2
-28,-39,36,31,39,4,0,3
-76,-87,12,279,596,5,7,2
-56,-70,21,352,202,2,2,4
-48,-61,20,36,46,6,0,3
-30,-38,36,41,649,145,7,2
-40,-50,63,33,43,22,0,3
-44,-76,28,65,411,11,0,4
-38,-51,52,58,48,1,0,3
-42,-54,29,110,11,0,0,3
-50,-63,31,17,474,168,5,1
-68,-79,12,481,674,1,6,2
-38,-49,45,122,658,10,7,2
-42,-49,7,393,486,5,7,2
-30,-50,66,137,288,4,0,3
-62,-75,18,2541,674,2,7,2
-52,-64,15,214,556,331,7,2
-62,-74,23,204,656,60,7,2
-40,-56,87,50,65,0,0,3
-54,-71,45,18,8,0,0,3
-40,-58,118,86,504,10,1,4
-54,-75,28,49,549,30,2,4
-54,-62,20,32,11,0,0,3
-40,-46,18,114,663,11,7,2
-46,-61,43,40,41,11,0,3
-38,-40,2,24,644,204,5,2
-58,-67,24,16,161,11,0,3
-42,-50,41,14,47,5,0,3
-38,-60,57,41,84,4,4,4
-34,-51,65,79,65,8,0,3
-44,-61,22,13299,674,4,7,2
-54,-63,46,29,13,10,0,4
-58,-63,8,128,661,55,7,2
-34,-53,133,143,573,246,5,1
