1:4,48,52,44,15
1:1,47,49,45,15
1:8,49,57,45,15
0:5,38,42,35,15
0:31,41,55,36,15
1:4,49,53,45,15
1:4,47,50,43,15
1:4,47,50,43,15
1:4,45,49,41,15
1:3,46,51,43,15
1:1,48,51,47,15
1:2,46,49,44,15
1:10,47,53,41,15
1:3,47,50,44,15
1:2,48,51,45,15
1:7,48,53,44,15
1:1,48,53,47,15
1:2,46,50,44,15
0:18,42,51,37,15
1:4,46,50,43,15
1:5,48,52,43,15
1:1,47,50,45,15
1:3,49,54,47,15
1:4,46,50,41,15
1:3,47,51,45,15
0:7,47,52,43,15
1:3,47,50,44,15
1:8,48,55,44,15
1:11,44,55,40,15
1:3,46,49,43,15
1:3,47,52,44,15
1:2,46,49,43,15
1:4,47,52,44,15
1:3,50,54,48,15
1:8,46,51,41,15
0:1,36,39,34,15
1:55,43,64,37,15
1:3,46,49,43,15
1:5,47,51,43,15
1:1,45,50,44,15
1:4,48,52,44,15
0:4,37,43,34,15
1:11,46,55,41,15
1:3,50,54,47,15
1:4,47,52,44,15
1:7,45,52,42,15
0:1,36,38,34,15
1:4,47,51,43,15
0:2,41,44,38,15
1:3,49,52,46,15
1:5,51,58,49,15
1:4,47,50,43,15
1:4,48,52,45,15
0:4,37,44,35,15
1:6,47,53,43,15
1:4,47,51,43,15
1:1,47,50,46,15
1:14,47,59,43,15
1:2,48,51,46,15
1:2,49,53,47,15
0:3,50,55,48,15
1:5,46,50,42,15
1:4,48,53,45,15
0:2,47,50,44,15
1:3,49,53,46,15
1:4,50,56,47,15
1:5,48,52,43,15
1:4,46,50,42,15
1:2,49,52,47,15
1:6,47,54,44,15
1:5,47,51,42,15
1:5,47,52,42,15
1:2,47,52,46,15
0:4,38,44,35,15
0:2,39,42,37,15
1:2,49,53,47,15
1:2,48,50,45,15
1:7,48,54,43,15
1:5,48,54,46,15
1:3,45,48,42,15
1:2,48,52,46,15
0:1,37,39,35,15
1:1,46,48,43,15
1:5,47,53,44,15
0:34,43,59,36,15
1:8,47,51,41,15
0:3,38,42,35,15
1:2,48,51,45,15
1:4,48,51,43,15
1:2,47,51,45,15
0:2,36,39,34,15
1:4,45,51,42,15
1:9,47,56,41,15
1:2,46,49,44,15
1:5,46,51,43,15
1:2,49,52,48,15
0:11,42,51,37,15
1:1,51,53,50,15
1:5,46,51,43,15
1:2,48,52,44,15
1:6,48,54,43,15
1:3,48,54,45,15
1:3,47,52,45,15
1:6,49,53,46,15
1:3,49,53,46,15
1:1,47,50,46,15
1:2,48,52,45,15
0:0,38,40,37,15
1:6,48,52,44,15
0:3,38,41,34,15
0:2,37,40,35,15
1:6,47,52,44,15
1:7,47,52,41,15
1:2,48,52,46,15
1:6,46,52,43,15
1:7,45,51,41,15
0:2,45,48,43,15
1:3,48,52,46,15
1:3,47,50,43,15
0:18,37,47,33,15
1:3,47,51,44,15
1:3,49,52,45,15
1:4,45,48,41,15
1:3,48,53,45,15
