1:4,47,51,43,15
0:4,36,42,34,15
0:14,46,56,42,15
1:1,45,47,43,15
1:2,48,51,46,15
1:2,45,49,42,15
1:1,48,52,47,15
1:5,48,52,44,15
1:3,47,50,43,15
1:6,46,51,42,15
1:2,49,53,45,15
1:3,48,52,45,15
0:1,34,37,33,15
0:19,42,52,38,15
1:4,48,52,44,15
0:3,50,53,48,15
1:2,47,50,44,15
0:9,37,45,35,15
1:3,46,50,43,15
1:1,46,49,45,15
1:5,46,50,43,15
1:6,47,53,42,15
1:4,47,50,43,15
1:4,48,53,44,15
1:4,48,53,45,15
1:4,49,53,45,15
1:5,48,53,45,15
1:5,48,53,45,15
1:3,47,51,44,15
1:10,47,53,43,15
0:4,49,54,46,15
1:4,48,51,44,15
1:5,48,52,44,15
1:3,48,52,46,15
0:4,39,44,36,15
0:5,37,44,35,15
1:3,47,51,44,15
1:4,50,55,48,15
1:3,47,52,45,15
1:4,46,52,43,15
1:2,46,50,44,15
1:2,48,52,45,15
1:5,49,53,44,15
1:6,48,53,44,15
1:7,50,56,47,15
1:9,46,54,43,15
1:3,48,52,47,15
1:6,46,53,44,15
1:3,48,53,45,15
1:2,47,51,44,15
1:2,47,51,45,15
1:2,47,51,44,15
0:2,37,41,35,15
1:6,40,49,38,15
1:2,47,50,44,15
1:4,46,50,44,15
1:4,46,50,42,15
1:5,47,52,45,15
0:14,38,52,34,15
1:1,46,50,45,15
1:3,45,48,42,15
0:1,47,50,45,15
1:5,47,51,43,15
1:2,48,53,46,15
1:3,46,50,44,15
1:5,48,52,44,15
1:3,47,50,44,15
1:12,46,55,41,15
1:4,46,50,43,15
1:6,49,56,46,15
1:4,46,50,43,15
0:2,36,40,34,15
1:3,46,50,43,15
1:4,48,53,46,15
1:4,46,50,43,15
1:5,45,51,40,15
0:1,36,38,34,15
0:5,38,42,34,15
1:4,47,51,45,15
1:4,39,44,35,15
1:3,48,51,46,15
1:7,45,50,40,15
1:7,47,55,44,15
1:1,47,51,46,15
0:2,35,39,33,15
0:4,40,46,38,15
1:1,49,52,46,15
1:4,48,52,45,15
1:6,48,53,44,15
1:7,46,53,42,15
1:3,47,51,44,15
1:3,47,50,43,15
1:1,49,51,47,15
1:2,47,50,44,15
1:6,47,53,44,15
1:2,46,49,42,15
0:2,47,49,43,15
1:5,48,52,44,15
1:3,45,49,43,15
0:3,38,43,36,15
1:3,49,54,46,15
1:3,47,51,44,15
1:2,48,51,45,15
1:9,46,52,40,15
1:3,46,50,44,15
1:3,47,52,45,15
1:10,48,58,44,15
1:4,47,52,44,15
1:2,48,51,46,15
1:3,50,54,47,15
1:5,47,51,44,15
1:5,47,51,44,15
0:4,36,41,33,15
1:2,47,50,44,15
0:30,42,61,38,15
1:4,46,52,42,15
1:7,49,54,45,15
1:2,46,50,44,15
1:4,47,52,44,15
1:3,47,50,44,15
1:3,46,50,44,15
0:4,36,41,34,15
0:1,37,40,36,15
1:3,50,55,47,15
1:3,50,53,46,15
1:3,46,50,43,15
1:5,48,55,45,15
1:3,47,50,43,15
1:1,46,49,43,15
1:9,47,53,43,15
1:4,46,50,41,15
1:2,46,49,44,15
1:3,44,49,42,15
1:2,46,51,45,15
1:8,50,61,48,15
1:1,49,52,48,15
1:5,47,54,43,15
1:8,48,53,44,15
0:6,48,54,44,15
1:3,46,50,43,15
0:5,35,42,33,15
1:5,46,50,41,15
1:8,48,54,43,15
1:4,47,51,44,15
1:6,46,52,43,15
1:3,49,52,46,15
1:5,50,56,48,15
1:5,46,52,43,15
1:8,46,53,43,15
1:5,48,52,44,15
1:5,47,51,42,15
1:3,48,52,46,14
1:2,46,49,44,15
1:2,47,50,44,15
0:2,40,45,38,15
